iter	Passed	Remaining
858	1589	260
859	1591	259
860	1592	257
861	1594	255
862	1596	253
863	1597	251
864	1599	249
865	1601	247
866	1602	245
867	1604	243
868	1605	242
869	1607	240
870	1609	238
871	1611	236
872	1612	234
873	1614	232
874	1616	230
875	1617	229
876	1620	227
877	1621	225
878	1623	223
879	1625	221
880	1626	219
881	1628	217
882	1630	216
883	1632	214
884	1633	212
885	1635	210
886	1637	208
887	1639	206
888	1640	204
889	1643	203
890	1644	201
891	1646	199
892	1648	197
893	1650	195
894	1652	193
895	1654	192
896	1656	190
897	1658	188
898	1659	186
899	1661	184
900	1663	182
901	1665	180
902	1666	179
903	1668	177
904	1670	175
905	1672	173
906	1674	171
907	1675	169
908	1677	167
909	1679	166
910	1680	164
911	1682	162
912	1684	160
913	1685	158
914	1687	156
915	1689	154
916	1691	153
917	1692	151
918	1694	149
919	1696	147
920	1697	145
921	1699	143
922	1700	141
923	1702	140
924	1704	138
925	1705	136
926	1707	134
927	1709	132
928	1710	130
929	1712	128
930	1714	127
931	1716	125
932	1717	123
933	1719	121
934	1721	119
935	1722	117
936	1724	115
937	1726	114
938	1728	112
939	1729	110
940	1731	108
941	1732	106
942	1734	104
943	1736	102
944	1737	101
945	1739	99
946	1741	97
947	1742	95
948	1744	93
949	1746	91
950	1747	90
951	1749	88
952	1751	86
953	1752	84
954	1754	82
955	1756	80
956	1757	78
957	1759	77
958	1761	75
959	1762	73
960	1764	71
961	1765	69
962	1767	67
963	1769	66
964	1770	64
965	1772	62
966	1774	60
967	1775	58
968	1777	56
969	1779	55
970	1780	53
971	1782	51
972	1784	49
973	1786	47
974	1787	45
975	1789	44
976	1791	42
977	1792	40
978	1794	38
979	1795	36
980	1797	34
981	1799	32
982	1801	31
983	1802	29
984	1804	27
985	1806	25
986	1808	23
987	1810	21
988	1811	20
989	1813	18
990	1815	16
991	1817	14
992	1819	12
993	1821	10
994	1822	9
995	1824	7
996	1826	5
997	1828	3
998	1830	1
999	1832	0
